magic,full_ts_s2,full_ts_s3,full_ts_s4,full_ts_reg0.3_s1,lean_s1,lean_s2,lean_s3,lean_s4,baseline_final,baseline_qda_avg4
297,0.9551849365234375,0.95538330078125,0.9519271850585938,0.951141357421875,0.9490814208984375,0.952545166015625,0.9534072875976562,0.9470977783203125,0.9522247314453125,0.9543914794921875
298,0.9375957707631015,0.9375881091020534,0.9296659515783022,0.9375344774747166,0.9396720809071408,0.9389672080907141,0.9377260190009196,0.9389288997854736,0.9434569414649095,0.9425835121054245
299,0.9466951776571936,0.9501977375149453,0.9374061130016249,0.952772923756093,0.9523054048254085,0.9441583126398725,0.9491630644716269,0.9372758208406143,0.9563597903062633,0.9491247432478004
300,0.9504241943359375,0.9434890747070312,0.9458160400390625,0.9530105590820312,0.9558868408203125,0.9499130249023438,0.9457855224609375,0.950439453125,0.954010009765625,0.9514694213867188
301,0.9364471435546875,0.943023681640625,0.9381332397460938,0.9357070922851562,0.9349822998046875,0.934783935546875,0.940155029296875,0.9356231689453125,0.9349212646484375,0.9363479614257812
302,0.9635080491340505,0.9621194781414512,0.9612497138933395,0.9618905928130006,0.962027924010071,0.9632639047837034,0.9618448157473106,0.9605096513313497,0.9616388189517052,0.9669031815060656
303,0.95696142632535,0.9526949672574071,0.9521301766115614,0.9471997069194487,0.9473676176519975,0.9557936835035337,0.954030620811772,0.952588114973058,0.9460090671795577,0.9490467249774848
304,0.9631630348532014,0.9630409570896661,0.9565174266007446,0.963681865348227,0.9623466398095587,0.9630028077885614,0.9608511872062505,0.9554568760300312,0.9573185619239456,0.9631782945736435
305,0.9288179333302792,0.9365981034403774,0.9444317192725273,0.9473406935727701,0.9447829340174385,0.9286652312672744,0.9365141173057248,0.94200375647075,0.9356513506497474,0.9363843205521707
306,0.9615844315047503,0.9630248237817959,0.9584891204413117,0.9602513024823782,0.9614005516395955,0.9647103892123812,0.9625498007968127,0.9582745939319645,0.9636224333435489,0.9579757891510877
307,0.9650250797993616,0.9543015655874754,0.9487004103967168,0.964781881744946,0.9647058823529411,0.9662866697066423,0.9567943456452348,0.9500075999392006,0.9558139534883723,0.9600091199270405
308,0.9433127336537728,0.9265659571221485,0.934531166552224,0.9423285267414359,0.9465781643396658,0.9451285572594798,0.9279011215381093,0.9360341802090486,0.9367208361943998,0.9369268329900053
309,0.9423361562523843,0.9357213702601662,0.9345998321507591,0.931090257114519,0.936064698252842,0.9438544289311055,0.93842984664683,0.9364232852674144,0.9323262378881513,0.9310139620050355
310,0.9389153390709881,0.946346822926204,0.9367408289080146,0.9514359396935848,0.9526185680278337,0.9400445583836904,0.9474607825184642,0.9399530000610388,0.9472471464322773,0.9507721418543613
311,0.9587931296549628,0.9533363733090136,0.9552059583523331,0.9564979480164159,0.960016719866241,0.9601991184070527,0.9578507371941025,0.9551451588387293,0.9607539139686883,0.9602827177382582
312,0.9619546141285271,0.9681276420406855,0.9597265249439163,0.9686694034520121,0.9684099684099684,0.962381918903658,0.965952965952966,0.9585819585819585,0.9665481404611839,0.9616341355471791
313,0.9481269550621805,0.9480964370183871,0.9504997329671169,0.9490196078431372,0.9488288700694284,0.9494392309452963,0.9487373159380483,0.9492179751277943,0.9543297474631877,0.9481956206607156
314,0.9582248230644321,0.953904837770765,0.9427448757621251,0.9496154906706701,0.9520129293176874,0.9596801372591073,0.9548469622231073,0.9440852967309048,0.9528631391893134,0.95444866570667
315,0.9640497444113832,0.9631494621194782,0.9718089570458532,0.971999694819562,0.970176241702907,0.9632639047837033,0.9642328526741436,0.9694438086518654,0.9621271076523995,0.9648737315938049
316,0.948114503816794,0.9481068702290076,0.9449160305343514,0.9609312977099237,0.9606564885496183,0.9510534351145037,0.9494198473282442,0.9447328244274809,0.9552519083969466,0.9517251908396946
317,0.9204129280351585,0.9153772202893243,0.9126838796313252,0.925578343404749,0.9251052920710493,0.9257004211682842,0.9211377647561497,0.9163462125373864,0.9342153451748763,0.9243728254898369
318,0.9560546875,0.95782470703125,0.9576873779296875,0.9575958251953125,0.9589157104492188,0.95989990234375,0.956878662109375,0.9614028930664062,0.9600677490234375,0.953643798828125
319,0.9581597619592583,0.947196154726482,0.957999542229343,0.9549706263828488,0.9568017090104524,0.9586404211490044,0.9472266727702755,0.9546807049668116,0.96415655756466,0.9640039673456932
320,0.9403386515068157,0.9450913870040957,0.9409499358151475,0.9505623815636653,0.9492786845161685,0.9419279907084785,0.945473439696803,0.9444953848034721,0.9536799315361575,0.9496913014242924
321,0.9313892208229924,0.9271838710665807,0.9273447314397769,0.9365750528541226,0.9375708551643841,0.9293210160247573,0.9277124122927964,0.9287311946563717,0.9326990838618746,0.9373410546312468
322,0.956517094017094,0.9496031746031747,0.9600656288156287,0.9547847985347986,0.9547542735042734,0.9577304639804638,0.9519078144078145,0.9581883394383395,0.9498931623931623,0.9502213064713065
323,0.9525550218871596,0.9501003161478598,0.953938168774319,0.9528286113813229,0.9562712791828794,0.9534517874513617,0.9518634484435798,0.9569400535019456,0.952790612840467,0.9552833171206224
324,0.9258835378135872,0.93059116156992,0.9361609595312214,0.9250137337483977,0.9291643777086004,0.9268754196423121,0.9328190807544406,0.9336125862174204,0.9321247634743332,0.9348104742721114
325,0.9411163330078125,0.9380340576171875,0.9486846923828125,0.9514846801757812,0.9531936645507812,0.9417724609375,0.93719482421875,0.9490127563476562,0.9591827392578125,0.9538345336914062
326,0.9503700312809948,0.9336232547493706,0.9339131761654077,0.9484855420767528,0.9483024338139925,0.9506446936751354,0.9336995498588541,0.9359197375448234,0.9409933623254749,0.9418478675516899
327,0.9504852294921875,0.9511337280273438,0.9532928466796875,0.96124267578125,0.9570388793945312,0.9528961181640625,0.9506683349609375,0.9532394409179688,0.9590911865234375,0.9535980224609375
328,0.9352361546181686,0.9329704084425656,0.9265457254949668,0.9344834402846629,0.9344150117088896,0.936102916577963,0.9315714242267571,0.9256865667102582,0.9359660594264164,0.9349928530154193
329,0.9395222832722833,0.9548229548229549,0.9435286935286935,0.9472222222222222,0.9486874236874236,0.948252442002442,0.9536630036630036,0.9468940781440781,0.9448717948717948,0.9445665445665445
330,0.9302712521561265,0.9521912350597609,0.9297064615102808,0.9543130161346949,0.9508097876692464,0.931263451939369,0.9519012074308131,0.9308360428019722,0.9342553159011463,0.9376745890003205
331,0.9548867017624171,0.953177691309987,0.9541466392004273,0.9563363088426032,0.9598306248569467,0.9544975967040513,0.9546959639887083,0.9565499351491569,0.9524376287479972,0.9559929808499275
332,0.9544344747604224,0.9555255447720198,0.9511383751449674,0.9503677592626504,0.9518174327046328,0.9519089910272844,0.9554339864493683,0.9526109381676128,0.9591344686565341,0.9560977842885918
333,0.9236259541984732,0.92612213740458,0.935732824427481,0.9230610687022902,0.9281374045801527,0.927587786259542,0.9282900763358779,0.9349007633587787,0.9240152671755725,0.9267938931297711
334,0.9533662943294879,0.9478575352499543,0.9515198681560154,0.9461865958615638,0.9469801013245437,0.9538164560825246,0.9474073734969176,0.953351034609046,0.9542360983946774,0.955868888481963
335,0.9438391699092088,0.9457618066681925,0.9410849164568551,0.9463111314564736,0.9467917906462195,0.944213015945678,0.9501487754634927,0.9457541771572442,0.9446707866025787,0.9404592965590906
336,0.9264939266312641,0.9343221632179699,0.9219465299395715,0.932155282915217,0.9335439174754319,0.9279664896539096,0.935665018616859,0.9252273698345848,0.9412805957394861,0.9389305987914301
337,0.9422980086976424,0.9507515068284123,0.9452048523689632,0.9499504081788357,0.9471732661936371,0.9408255130846113,0.9481803616388189,0.9424811169604028,0.9464103150988022,0.9418554970626383
338,0.9438391699092088,0.9420233463035019,0.9426489662012665,0.9432822156099793,0.9466239414053559,0.9479056992446784,0.943579766536965,0.9470893415732051,0.9455252918287939,0.9474021515220874
339,0.9341891602071142,0.9249900425870892,0.9365789393057384,0.9284521584607371,0.9317764024633107,0.9357670271760777,0.9324887404638623,0.9410980728576244,0.9352155396917798,0.9361500045957291
340,0.9553771727684771,0.9586506325636761,0.9461290765638591,0.9543928456971936,0.9537366276496712,0.9540799975582585,0.9560791734704778,0.9446716620629665,0.9500663848489935,0.9521876478398217
341,0.9692264257481649,0.9661971401101835,0.9584064584064583,0.9606269171486562,0.961618874662353,0.9672959238176629,0.9671662062966411,0.9634959634959636,0.9671127931997496,0.9686388816823599
